"","aphanotorulus_emarginatus19719","hemiancistrus_cerrado66643","hemiancistrus_fuliginosus61299","hypancistrus_sp61759","hypostomus_cf_gymnorhynchus80910","hypostomus_cfhemicochliodon64160","hypostomus_faveolus27640","hypostomus_melanephelis54012","hypostomus_sp50059","hypostomus_sp55539","hypostomus_sp76321","hypostomus_strigaticeps61230","panaqolus_gnomus57729","panaqolus_sp57507","panaqolus_sp61753","peckoltia_braueri69540","peckoltia_compta61756","peckoltia_snethlageae57059","pterygoplichthys_anisitsi26686","scobinancistrus_aureatus61467","spectracanthicus_immaculatus43225","12|34","13|24","14|23","p_T3",""
"108",1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,65.3333333333333,42.3333333333333,816.333333333333,0.026069712836515,3.49519466907948e-274
"109",1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,64.3333333333333,46.3333333333333,828.333333333333,0.0863698459172752,3.35741700830714e-277
"110",1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,63,42,825,0.039751373251353,1.48024658779752e-279
"111",1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,66.6666666666667,45.6666666666667,811.666666666667,0.0468988015928583,3.70577413373346e-269
"112",1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,65.3333333333333,46.3333333333333,829.333333333333,0.0714834160064456,5.54551188648775e-277
"113",1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,70.6666666666667,36.6666666666667,697.666666666667,0.000932023560204969,6.07770580533086e-225
"114",1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,93,96,475,0.827255776590331,1.99945169617482e-95
"115",1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,68.3333333333333,39.3333333333333,644.333333333333,0.00492042436464935,1.82135804574883e-202
"116",1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,79,55,715,0.0376271796661188,9.61162906484851e-216
"117",1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,478,113,134,0.181220408231954,3.32671160115997e-76
"118",1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,63.3333333333333,51.3333333333333,793.333333333333,0.262007157016486,7.1827595654882e-260
"119",1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,59.6666666666667,52.6666666666667,804.666666666667,0.508824125401026,4.41696898711509e-266
